schema_version,strategy_id,strategy_version,rank,symbol,name,sector,total_score,trend_score,startup_score,sector_score,market_score,decision,continuation,buy_model,notes,risks,hard_rejects,plan
1,v1_trend_startup,v1_0,1,600667,太极实业,沪市主板,91,40,21,25,5,强参与,强延续,平台突破买点,中期结构清晰：平台突破,回调缩量未确认；指数未确认站上5日线和10日线；跌停/大面风险未确认较低；近5日涨幅28.5%偏高，追高风险增加,,2成仓先手；突破确认或回踩不破再加到3成，总仓不超过60%-70%。 触发：收盘站稳平台上沿，或次日不低开且回踩平台不破。 止损：跌回平台内部、跌破突破K低点、跌破5日线无法收回。
1,v1_trend_startup,v1_0,2,603005,晶方科技,沪市主板,91,40,21,25,5,强参与,强延续,平台突破买点,中期结构清晰：平台突破、强势震荡再启动,回调缩量未确认；指数未确认站上5日线和10日线；跌停/大面风险未确认较低,,2成仓先手；突破确认或回踩不破再加到3成，总仓不超过60%-70%。 触发：收盘站稳平台上沿，或次日不低开且回踩平台不破。 止损：跌回平台内部、跌破突破K低点、跌破5日线无法收回。
1,v1_trend_startup,v1_0,3,603259,药明康德,沪市主板,91,40,21,25,5,强参与,强延续,平台突破买点,中期结构清晰：平台突破,回调缩量未确认；指数未确认站上5日线和10日线；跌停/大面风险未确认较低,,2成仓先手；突破确认或回踩不破再加到3成，总仓不超过60%-70%。 触发：收盘站稳平台上沿，或次日不低开且回踩平台不破。 止损：跌回平台内部、跌破突破K低点、跌破5日线无法收回。
1,v1_trend_startup,v1_0,4,605358,立昂微,沪市主板,91,40,21,25,5,强参与,强延续,强势震荡再启动,中期结构清晰：强势震荡再启动,回调缩量未确认；指数未确认站上5日线和10日线；跌停/大面风险未确认较低,,2成仓先手；突破确认或回踩不破再加到3成，总仓不超过60%-70%。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
1,v1_trend_startup,v1_0,5,000100,TCL科技,深市主板,86,40,21,20,5,强参与,强延续,平台突破买点,中期结构清晰：平台突破、强势震荡再启动,回调缩量未确认；板块排名不够靠前；指数未确认站上5日线和10日线；跌停/大面风险未确认较低,,2成仓先手；突破确认或回踩不破再加到3成，总仓不超过60%-70%。 触发：收盘站稳平台上沿，或次日不低开且回踩平台不破。 止损：跌回平台内部、跌破突破K低点、跌破5日线无法收回。
1,v1_trend_startup,v1_0,6,000725,京东方Ａ,深市主板,86,40,21,20,5,强参与,强转弱风险,平台突破买点,中期结构清晰：平台突破,存在长上影或冲高回落；板块排名不够靠前；指数未确认站上5日线和10日线；跌停/大面风险未确认较低,,2成仓先手；突破确认或回踩不破再加到3成，总仓不超过60%-70%。 触发：收盘站稳平台上沿，或次日不低开且回踩平台不破。 止损：跌回平台内部、跌破突破K低点、跌破5日线无法收回。
1,v1_trend_startup,v1_0,7,002080,中材科技,深市主板,86,40,21,20,5,强参与,强延续,平台突破买点,中期结构清晰：平台突破,回调缩量未确认；板块排名不够靠前；指数未确认站上5日线和10日线；跌停/大面风险未确认较低,,2成仓先手；突破确认或回踩不破再加到3成，总仓不超过60%-70%。 触发：收盘站稳平台上沿，或次日不低开且回踩平台不破。 止损：跌回平台内部、跌破突破K低点、跌破5日线无法收回。
1,v1_trend_startup,v1_0,8,002185,华天科技,深市主板,86,40,21,20,5,强参与,强转弱风险,平台突破买点,中期结构清晰：平台突破,存在长上影或冲高回落；板块排名不够靠前；指数未确认站上5日线和10日线；跌停/大面风险未确认较低,,2成仓先手；突破确认或回踩不破再加到3成，总仓不超过60%-70%。 触发：收盘站稳平台上沿，或次日不低开且回踩平台不破。 止损：跌回平台内部、跌破突破K低点、跌破5日线无法收回。
1,v1_trend_startup,v1_0,9,002371,北方华创,深市主板,86,40,21,20,5,强参与,强延续,平台突破买点,中期结构清晰：平台突破、强势震荡再启动,回调缩量未确认；板块排名不够靠前；指数未确认站上5日线和10日线；跌停/大面风险未确认较低,,2成仓先手；突破确认或回踩不破再加到3成，总仓不超过60%-70%。 触发：收盘站稳平台上沿，或次日不低开且回踩平台不破。 止损：跌回平台内部、跌破突破K低点、跌破5日线无法收回。
1,v1_trend_startup,v1_0,10,002409,雅克科技,深市主板,86,40,21,20,5,强参与,强延续,平台突破买点,中期结构清晰：平台突破,回调缩量未确认；板块排名不够靠前；指数未确认站上5日线和10日线；跌停/大面风险未确认较低；近5日涨幅25.6%偏高，追高风险增加,,2成仓先手；突破确认或回踩不破再加到3成，总仓不超过60%-70%。 触发：收盘站稳平台上沿，或次日不低开且回踩平台不破。 止损：跌回平台内部、跌破突破K低点、跌破5日线无法收回。
