schema_version,strategy_id,strategy_version,rank,symbol,name,sector,total_score,trend_score,startup_score,sector_score,market_score,decision,continuation,buy_model,notes,risks,hard_rejects,plan
1,v1_trend_startup,v1_0,1,688347,华虹宏力,科创板,98,40,25,23,10,强参与,强延续,强势震荡再启动,中期结构清晰：强势震荡再启动,个股可能不是板块前排,,2成仓先手；突破确认或回踩不破再加到3成，总仓不超过60%-70%。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
1,v1_trend_startup,v1_0,2,688048,长光华芯,科创板,96,40,21,25,10,强参与,强延续,平台突破买点,中期结构清晰：平台突破,回调缩量未确认；近5日涨幅28.0%偏高，追高风险增加,,2成仓先手；突破确认或回踩不破再加到3成，总仓不超过60%-70%。 触发：收盘站稳平台上沿，或次日不低开且回踩平台不破。 止损：跌回平台内部、跌破突破K低点、跌破5日线无法收回。
1,v1_trend_startup,v1_0,3,300975,商络电子,创业板,95,40,25,20,10,强参与,强延续,平台突破买点,中期结构清晰：平台突破,板块排名不够靠前；近5日涨幅29.2%偏高，追高风险增加,,2成仓先手；突破确认或回踩不破再加到3成，总仓不超过60%-70%。 触发：收盘站稳平台上沿，或次日不低开且回踩平台不破。 止损：跌回平台内部、跌破突破K低点、跌破5日线无法收回。
1,v1_trend_startup,v1_0,4,688008,澜起科技,科创板,94,40,21,23,10,强参与,强延续,平台突破买点,中期结构清晰：平台突破,回调缩量未确认；个股可能不是板块前排,,2成仓先手；突破确认或回踩不破再加到3成，总仓不超过60%-70%。 触发：收盘站稳平台上沿，或次日不低开且回踩平台不破。 止损：跌回平台内部、跌破突破K低点、跌破5日线无法收回。
1,v1_trend_startup,v1_0,5,688012,中微公司,科创板,94,40,21,23,10,强参与,强延续,平台突破买点,中期结构清晰：平台突破,回调缩量未确认；个股可能不是板块前排；近5日涨幅26.0%偏高，追高风险增加,,2成仓先手；突破确认或回踩不破再加到3成，总仓不超过60%-70%。 触发：收盘站稳平台上沿，或次日不低开且回踩平台不破。 止损：跌回平台内部、跌破突破K低点、跌破5日线无法收回。
1,v1_trend_startup,v1_0,6,688017,绿的谐波,科创板,94,40,19,25,10,强参与,强延续,强势震荡再启动,中期结构清晰：强势震荡再启动,近5日低点未确认抬高,,2成仓先手；突破确认或回踩不破再加到3成，总仓不超过60%-70%。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
1,v1_trend_startup,v1_0,7,688041,海光信息,科创板,94,40,21,23,10,强参与,强延续,平台突破买点,中期结构清晰：平台突破、强势震荡再启动,回调缩量未确认；个股可能不是板块前排,,2成仓先手；突破确认或回踩不破再加到3成，总仓不超过60%-70%。 触发：收盘站稳平台上沿，或次日不低开且回踩平台不破。 止损：跌回平台内部、跌破突破K低点、跌破5日线无法收回。
1,v1_trend_startup,v1_0,8,688110,东芯股份,科创板,94,40,21,23,10,强参与,强延续,平台突破买点,中期结构清晰：平台突破,回调缩量未确认；个股可能不是板块前排；近5日涨幅25.9%偏高，追高风险增加,,2成仓先手；突破确认或回踩不破再加到3成，总仓不超过60%-70%。 触发：收盘站稳平台上沿，或次日不低开且回踩平台不破。 止损：跌回平台内部、跌破突破K低点、跌破5日线无法收回。
1,v1_trend_startup,v1_0,9,688126,沪硅产业,科创板,94,40,21,23,10,强参与,强延续,平台突破买点,中期结构清晰：平台突破,回调缩量未确认；个股可能不是板块前排,,2成仓先手；突破确认或回踩不破再加到3成，总仓不超过60%-70%。 触发：收盘站稳平台上沿，或次日不低开且回踩平台不破。 止损：跌回平台内部、跌破突破K低点、跌破5日线无法收回。
1,v1_trend_startup,v1_0,10,688256,寒武纪,科创板,94,40,21,23,10,强参与,强延续,平台突破买点,中期结构清晰：平台突破、强势震荡再启动,回调缩量未确认；个股可能不是板块前排,,2成仓先手；突破确认或回踩不破再加到3成，总仓不超过60%-70%。 触发：收盘站稳平台上沿，或次日不低开且回踩平台不破。 止损：跌回平台内部、跌破突破K低点、跌破5日线无法收回。
